,Alcohol,Flavonoids,Rating
0,14.23,3.06,A
1,13.2,2.76,A
2,13.16,3.24,A
3,14.37,3.49,A
4,13.24,2.69,A
5,14.2,3.39,A
6,14.39,2.52,A
7,14.06,2.51,A
8,14.83,2.98,A
9,13.86,3.15,A
10,14.1,3.32,A
11,14.12,2.43,A
12,13.75,2.76,A
13,14.75,3.69,A
14,14.38,3.64,A
15,13.63,2.91,A
16,14.3,3.14,A
17,13.83,3.4,A
18,14.19,3.93,A
19,13.64,3.03,A
20,14.06,3.17,A
21,12.93,2.41,A
22,13.71,2.88,A
23,12.85,2.37,A
24,13.5,2.61,A
25,13.05,2.68,A
26,13.39,2.94,A
27,13.3,2.19,A
28,13.87,2.97,A
29,14.02,2.33,A
30,13.73,3.25,A
31,13.58,3.19,A
32,13.68,2.69,A
33,13.76,2.74,A
34,13.51,2.53,A
35,13.48,2.98,A
36,13.28,2.68,A
37,13.05,2.43,A
38,13.07,2.64,A
39,14.22,3.04,A
40,13.56,3.29,A
41,13.41,2.68,A
42,13.88,3.56,A
43,13.24,2.63,A
44,13.05,3.0,A
45,14.21,2.65,A
46,14.38,3.17,A
47,13.9,3.39,A
48,14.1,2.92,A
49,13.94,3.54,A
50,13.05,3.27,A
51,13.83,2.99,A
52,13.82,3.74,A
53,13.77,2.79,A
54,13.74,2.9,A
55,13.56,2.78,A
56,14.22,3.0,A
57,13.29,3.23,A
58,13.72,3.67,A
59,12.37,0.57,B
60,12.33,1.09,B
61,12.64,1.41,B
62,13.67,1.79,B
63,12.37,3.1,B
64,12.17,1.75,B
65,12.37,2.65,B
66,13.11,3.18,B
67,12.37,2.0,B
68,13.34,1.3,B
69,12.21,1.28,B
70,12.29,1.02,B
71,13.86,2.86,B
72,13.49,1.84,B
73,12.99,2.89,B
74,11.96,2.14,B
75,11.66,1.57,B
76,13.03,2.03,B
77,11.84,1.32,B
78,12.33,1.85,B
79,12.7,2.55,B
80,12.0,2.26,B
81,12.72,2.53,B
82,12.08,1.58,B
83,13.05,1.59,B
84,11.84,2.21,B
85,12.67,1.94,B
86,12.16,1.69,B
87,11.65,1.61,B
88,11.64,1.69,B
89,12.08,1.59,B
90,12.08,1.5,B
91,12.0,1.25,B
92,12.69,1.46,B
93,12.29,2.25,B
94,11.62,2.26,B
95,12.47,2.27,B
96,11.81,0.99,B
97,12.29,2.5,B
98,12.37,3.75,B
99,12.29,2.99,B
100,12.08,2.17,B
101,12.6,1.36,B
102,12.34,2.11,B
103,11.82,1.64,B
104,12.51,1.92,B
105,12.42,1.84,B
106,12.25,2.03,B
107,12.72,1.76,B
108,12.22,2.04,B
109,11.61,2.92,B
110,11.46,2.58,B
111,12.52,2.27,B
112,11.76,2.03,B
113,11.41,2.01,B
114,12.08,2.29,B
115,11.03,2.17,B
116,11.82,1.6,B
117,12.42,2.09,B
118,12.77,1.25,B
119,12.0,1.64,B
120,11.45,2.79,B
121,11.56,5.08,B
122,12.42,2.13,B
123,13.05,2.65,B
124,11.87,3.03,B
125,12.07,2.65,B
126,12.43,3.15,B
127,11.79,2.24,B
128,12.37,2.45,B
129,12.04,1.75,B
130,12.86,1.25,B
131,12.88,1.22,B
132,12.81,1.09,B
133,12.7,1.2,B
134,12.51,0.58,B
135,12.6,0.66,B
136,12.25,0.47,B
137,12.53,0.6,B
138,13.49,0.48,B
139,12.84,0.6,B
140,12.93,0.5,B
141,13.36,0.5,B
142,13.52,0.52,B
143,13.62,0.8,B
144,12.25,0.78,B
145,13.16,0.55,B
146,13.88,0.34,B
147,12.87,0.65,B
148,13.32,0.76,B
149,13.08,1.39,B
150,13.5,1.57,B
151,12.79,1.36,B
152,13.11,1.28,B
153,13.23,0.83,B
154,12.58,0.58,B
155,13.17,0.63,B
156,13.84,0.83,B
157,12.45,0.58,B
158,14.34,1.31,B
159,13.48,1.1,B
160,12.36,0.92,B
161,13.69,0.56,B
162,12.85,0.6,B
163,12.96,0.7,B
164,13.78,0.68,B
165,13.73,0.47,B
166,13.45,0.92,B
167,12.82,0.66,B
168,13.58,0.84,B
169,13.4,0.96,B
170,12.2,0.49,B
171,12.77,0.51,B
172,14.16,0.7,B
173,13.71,0.61,B
174,13.4,0.75,B
175,13.27,0.69,B
176,13.17,0.68,B
177,14.13,0.76,B
